subject,block,number,response,error,rt,condition,correct,congruency,size,task,congsize,decade,unit,sizeunit,decadeDistance,unitDistance,distance
1,1,41,a       ,C       ,882,decade,1,incongruent,small decade digits,parity,both digits have the same size,4,1,small unit digits,1,4,14
1,1,44,a       ,C       ,381,decade,1,congruent,small decade digits,parity,both digits have the same size,4,4,small unit digits,1,1,11
1,1,48,a       ,C       ,330,decade,1,congruent,small decade digits,parity,digits have different size,4,8,large unit digits,1,3,7
1,1,81,a       ,C       ,571,decade,1,incongruent,large decade digits,parity,digits have different size,8,1,small unit digits,3,4,26
1,1,26,a       ,C       ,591,decade,1,congruent,small decade digits,parity,digits have different size,2,6,large unit digits,3,1,29
1,1,21,a       ,C       ,321,decade,1,incongruent,small decade digits,parity,both digits have the same size,2,1,small unit digits,3,4,34
1,1,22,a       ,C       ,261,decade,1,congruent,small decade digits,parity,both digits have the same size,2,2,small unit digits,3,3,33
1,1,72,l       ,C       ,481,decade,1,incongruent,large decade digits,parity,digits have different size,7,2,small unit digits,2,3,17
1,1,99,l       ,C       ,741,decade,1,congruent,large decade digits,parity,both digits have the same size,9,9,large unit digits,4,4,44
1,1,76,l       ,C       ,861,decade,1,incongruent,large decade digits,parity,both digits have the same size,7,6,large unit digits,2,1,21
1,1,84,a       ,C       ,450,decade,1,congruent,large decade digits,parity,digits have different size,8,4,small unit digits,3,1,29
1,1,43,a       ,C       ,470,decade,1,incongruent,small decade digits,parity,both digits have the same size,4,3,small unit digits,1,2,12
1,1,71,l       ,C       ,510,decade,1,congruent,large decade digits,parity,digits have different size,7,1,small unit digits,2,4,16
1,1,42,a       ,C       ,591,decade,1,congruent,small decade digits,parity,both digits have the same size,4,2,small unit digits,1,3,13
1,1,63,a       ,C       ,952,decade,1,incongruent,large decade digits,parity,digits have different size,6,3,small unit digits,1,2,8
1,1,66,a       ,C       ,541,decade,1,congruent,large decade digits,parity,both digits have the same size,6,6,large unit digits,1,1,11
1,1,14,l       ,C       ,491,decade,1,incongruent,small decade digits,parity,both digits have the same size,1,4,small unit digits,4,1,41
1,1,23,a       ,C       ,601,decade,1,incongruent,small decade digits,parity,both digits have the same size,2,3,small unit digits,3,2,32
1,1,27,a       ,C       ,1041,decade,1,incongruent,small decade digits,parity,digits have different size,2,7,large unit digits,3,2,28
1,1,31,l       ,C       ,590,decade,1,congruent,small decade digits,parity,both digits have the same size,3,1,small unit digits,2,4,24
1,1,86,a       ,C       ,661,decade,1,congruent,large decade digits,parity,both digits have the same size,8,6,large unit digits,3,1,31
1,1,91,l       ,C       ,781,decade,1,congruent,large decade digits,parity,digits have different size,9,1,small unit digits,4,4,36
1,1,96,l       ,C       ,451,decade,1,incongruent,large decade digits,parity,both digits have the same size,9,6,large unit digits,4,1,41
1,1,47,a       ,C       ,1572,decade,1,incongruent,small decade digits,parity,digits have different size,4,7,large unit digits,1,2,8
1,1,32,l       ,C       ,4246,decade,1,incongruent,small decade digits,parity,both digits have the same size,3,2,small unit digits,2,3,23
1,1,38,l       ,C       ,831,decade,1,incongruent,small decade digits,parity,digits have different size,3,8,large unit digits,2,3,17
1,1,49,a       ,C       ,701,decade,1,incongruent,small decade digits,parity,digits have different size,4,9,large unit digits,1,4,6
1,1,64,a       ,C       ,641,decade,1,congruent,large decade digits,parity,digits have different size,6,4,small unit digits,1,1,9
1,1,67,a       ,C       ,591,decade,1,incongruent,large decade digits,parity,both digits have the same size,6,7,large unit digits,1,2,12
1,1,89,a       ,C       ,581,decade,1,incongruent,large decade digits,parity,both digits have the same size,8,9,large unit digits,3,4,34
1,1,37,l       ,C       ,551,decade,1,congruent,small decade digits,parity,digits have different size,3,7,large unit digits,2,2,18
1,1,36,l       ,C       ,380,decade,1,incongruent,small decade digits,parity,digits have different size,3,6,large unit digits,2,1,19
1,1,61,a       ,C       ,621,decade,1,incongruent,large decade digits,parity,digits have different size,6,1,small unit digits,1,4,6
